Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
171,6880,22,236.708,113.174,50.2021,34.3977,0,211.607,130.373,211.607,95.9755,261.809,95.9755,261.809,130.373
172,6920,31,238.287,112.562,51.3423,35.179,0,212.616,130.152,212.616,94.973,263.958,94.973,263.958,130.152
173,6960,35,240.502,111.603,51.6802,35.4105,0,214.662,129.308,214.662,93.8975,266.342,93.8975,266.342,129.308
174,7000,36,240.241,111.662,50.0384,34.2856,0,215.222,128.805,215.222,94.5189,265.26,94.5189,265.26,128.805
175,7040,36,241.832,111.48,50.1834,34.3849,0,216.741,128.672,216.741,94.2875,266.924,94.2875,266.924,128.672
176,7080,36,243.546,111.028,50.736,34.7636,0,218.178,128.41,218.178,93.6462,268.914,93.6462,268.914,128.41
177,7120,38,243.375,110.467,50.4227,34.5489,0,218.164,127.742,218.164,93.1928,268.587,93.1928,268.587,127.742
178,7160,36,244.437,110.376,50.8647,34.8518,0,219.005,127.802,219.005,92.9503,269.87,92.9503,269.87,127.802
179,7200,42,246.743,110.934,50.3276,34.4837,0,221.579,128.176,221.579,93.6923,271.907,93.6923,271.907,128.176
180,7240,40,247.491,111.545,50.779,34.793,0,222.101,128.941,222.101,94.1483,272.88,94.1483,272.88,128.941
181,7280,40,248.571,112.057,50.959,34.9164,0,223.092,129.516,223.092,94.5991,274.051,94.5991,274.051,129.516
182,7320,41,247.988,112.664,50.4358,34.5579,0,222.77,129.943,222.77,95.3854,273.206,95.3854,273.206,129.943
183,7360,41,249.582,112.732,50.8471,34.8397,0,224.158,130.152,224.158,95.3123,275.006,95.3123,275.006,130.152
184,7400,40,250.676,113.494,50.31,34.4717,0,225.521,130.73,225.521,96.2587,275.831,96.2587,275.831,130.73
185,7440,42,250.93,113.736,48.4716,33.212,0,226.694,130.342,226.694,97.1301,275.166,97.1301,275.166,130.342
186,7480,43,250.788,114.132,48.9032,33.5077,0,226.336,130.886,226.336,97.3779,275.239,97.3779,275.239,130.886
187,7520,44,252.071,114.473,48.5392,33.2584,0,227.801,131.102,227.801,97.8435,276.341,97.8435,276.341,131.102
188,7560,42,252.945,114.667,49.0076,33.5793,0,228.441,131.457,228.441,97.8774,277.448,97.8774,277.448,131.457
189,7600,44,253,115.151,49.2724,33.7607,0,228.363,132.031,228.363,98.2707,277.636,98.2707,277.636,132.031
190,7640,43,255.809,114.27,50.2461,34.4279,0,230.686,131.484,230.686,97.0557,280.932,97.0557,280.932,131.484
191,7680,43,258.159,112.715,50.7224,34.7542,0,232.798,130.092,232.798,95.3381,283.52,95.3381,283.52,130.092
192,7720,45,256.872,112.492,48.7042,33.3714,0,232.52,129.178,232.52,95.8062,281.224,95.8062,281.224,129.178
193,7760,46,258.13,110.697,48.4772,33.2158,0,233.891,127.305,233.891,94.0894,282.369,94.0894,282.369,127.305
194,7800,42,258.571,110.122,48.0991,32.9568,0,234.522,126.601,234.522,93.644,282.621,93.644,282.621,126.601
195,7840,42,258.404,109.815,48.2202,33.0398,0,234.294,126.335,234.294,93.2955,282.514,93.2955,282.514,126.335
196,7880,44,259.017,108.739,47.5298,32.5667,0,235.252,125.023,235.252,92.4559,282.782,92.4559,282.782,125.023
197,7920,44,259.398,107.354,48.3576,33.1339,0,235.219,123.921,235.219,90.7867,283.577,90.7867,283.577,123.921
198,7960,42,259.599,107.012,48.3104,33.1016,0,235.444,123.563,235.444,90.461,283.754,90.461,283.754,123.563
199,8000,43,259.35,106.545,47.5666,32.592,0,235.567,122.841,235.567,90.2489,283.133,90.2489,283.133,122.841
200,8040,42,259.046,106.472,48.0718,32.9381,0,235.01,122.941,235.01,90.0027,283.082,90.0027,283.082,122.941
201,8080,41,258.307,106.659,47.778,32.7368,0,234.418,123.028,234.418,90.2911,282.196,90.2911,282.196,123.028
202,8120,42,256.889,107.269,48.0818,32.945,0,232.848,123.741,232.848,90.7965,280.93,90.7965,280.93,123.741
203,8160,43,257.884,107.62,48.5066,33.236,0,233.63,124.238,233.63,91.0018,282.137,91.0018,282.137,124.238
204,8200,43,256.055,107.959,48.0625,32.9317,0,232.024,124.425,232.024,91.4935,280.087,91.4935,280.087,124.425
205,8240,45,254.457,108.774,47.9394,32.8474,0,230.488,125.198,230.488,92.3506,278.427,92.3506,278.427,125.198
206,8280,42,252.856,109.152,47.4312,32.4992,0,229.14,125.401,229.14,92.9022,276.572,92.9022,276.572,125.401
207,8320,42,252.709,109.373,47.8854,32.8104,0,228.767,125.778,228.767,92.9679,276.652,92.9679,276.652,125.778
208,8360,45,250.732,109.99,48.1697,33.0052,0,226.647,126.493,226.647,93.4877,274.817,93.4877,274.817,126.493
209,8400,45,248.96,110.117,48.3064,33.0988,0,224.807,126.666,224.807,93.5672,273.113,93.5672,273.113,126.666
210,8440,47,248.376,110.138,47.7525,32.7193,0,224.5,126.498,224.5,93.7786,272.253,93.7786,272.253,126.498
211,8480,46,246.906,110.114,47.5834,32.6034,0,223.115,126.416,223.115,93.8126,270.698,93.8126,270.698,126.416
212,8520,49,245.687,110.012,47.9192,32.8335,0,221.727,126.428,221.727,93.5948,269.646,93.5948,269.646,126.428
213,8560,44,243.47,109.882,47.7563,32.7219,0,219.592,126.243,219.592,93.5214,267.349,93.5214,267.349,126.243
214,8600,45,240.714,109.558,47.7213,32.6979,0,216.854,125.906,216.854,93.2086,264.575,93.2086,264.575,125.906
215,8640,43,239.395,109.501,47.5126,32.5549,0,215.638,125.778,215.638,93.2234,263.151,93.2234,263.151,125.778
216,8680,45,238.039,109.78,47.8742,32.8027,0,214.102,126.181,214.102,93.3782,261.976,93.3782,261.976,126.181
217,8720,47,234.821,109.951,48.105,32.9608,0,210.768,126.431,210.768,93.4705,258.873,93.4705,258.873,126.431
218,8760,44,233.565,110.247,47.9564,32.859,0,209.587,126.677,209.587,93.8176,257.543,93.8176,257.543,126.677
219,8800,44,231.056,110.897,47.7279,32.7025,0,207.192,127.248,207.192,94.5455,254.92,94.5455,254.92,127.248
